ID,lat,lon,
Crossing 1,49.43491,7.75307,
Crossing 2,49.43746,7.75951,
Crossing 3,49.43921,7.75781,
Crossing 4,49.44153,7.754,
Crossing 5,49.44285,7.75943,
Crossing 6,49.43889,7.76474,
Crossing 7,49.44086,7.76636,
Crossing 8,49.43745,7.76804,
Crossing 9,49.43765,7.77127,
Crossing 10,49.43475,7.76157,
Crossing 11,49.43662,7.76342,
Crossing 12,49.44177,7.75183,
Crossing 13,49.44004,7.76543,
Crossing 14,49.44339,7.76448,
Crossing 15,49.44136,7.76142,
Crossing 16,49.43818,7.7566,
Crossing 17,49.43709,7.75861,
