ID,cap[kWh],cap_0[kWh],peak[kW],profile,power_cdc[kW],n_charge,lat,lon
mobile radio 1,32,32,32,mobile_radio.CSV,50,5,49.435078,7.774555
mobile radio 2,27.5,27.5,14.4,mobile_radio.CSV,50,5,49.452456,7.754607
mobile radio 3,27.5,27.5,14.4,mobile_radio.CSV,50,5,49.420624,7.737818
mobile radio 4,27.5,27.5,13.2,mobile_radio.CSV,50,5,49.43228,7.7766
mobile radio 5,27.5,27.5,10.8,mobile_radio.CSV,50,5,49.438204,7.711948
mobile radio 6,27.5,27.5,10.8,mobile_radio.CSV,50,5,49.454589,7.79289
mobile radio 7,27.5,27.5,10.8,mobile_radio.CSV,50,5,49.422934,7.757525
mobile radio 8,27.5,27.5,9.6,mobile_radio.CSV,50,5,49.442901,7.72614
mobile radio 9,27.5,27.5,9.6,mobile_radio.CSV,50,5,49.449259,7.73962
mobile radio 10,27.5,27.5,8.4,mobile_radio.CSV,50,5,49.441658,7.751749
mobile radio 11,27.5,27.5,8.4,mobile_radio.CSV,50,5,49.439112,7.764789
mobile radio 12,27.5,27.5,7.2,mobile_radio.CSV,50,5,49.436842,7.758865
mobile radio 13,27.5,27.5,7.2,mobile_radio.CSV,50,5,49.451675,7.768306
mobile radio 14,27.5,27.5,7.2,mobile_radio.CSV,50,5,49.446283,7.759797
mobile radio 15,27.5,27.5,7.2,mobile_radio.CSV,50,5,49.444017,7.766774
mobile radio 16,27.5,27.5,6.4,mobile_radio.CSV,50,5,49.445638,7.765762
mobile radio 17,27.5,27.5,6,mobile_radio.CSV,50,5,49.444134,7.707905
mobile radio 18,27.5,27.5,6,mobile_radio.CSV,50,5,49.434353,7.754659
mobile radio 19,27.5,27.5,6,mobile_radio.CSV,50,5,49.440468,7.782651
mobile radio 20,27.5,27.5,6,mobile_radio.CSV,50,5,49.448425,7.73793
mobile radio 21,27.5,27.5,6,mobile_radio.CSV,50,5,49.445493,7.749012
mobile radio 22,27.5,27.5,6,mobile_radio.CSV,50,5,49.445515,7.75077
mobile radio 23,27.5,27.5,6,mobile_radio.CSV,50,5,49.441818,7.771441
mobile radio 24,27.5,27.5,6,mobile_radio.CSV,50,5,49.443028,7.779536
mobile radio 25,27.5,27.5,6,mobile_radio.CSV,50,5,49.451255,7.793001
mobile radio 26,27.5,27.5,6,mobile_radio.CSV,50,5,49.4544,7.810926
mobile radio 27,27.5,27.5,6,mobile_radio.CSV,50,5,49.453106,7.80795
mobile radio 28,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.44397,7.705217
mobile radio 29,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.445083,7.725101
mobile radio 30,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.440669,7.740357
mobile radio 31,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.439106,7.741672
mobile radio 32,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.434393,7.734576
mobile radio 33,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.435931,7.767463
mobile radio 34,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.448695,7.776774
mobile radio 35,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.44827,7.776142
mobile radio 36,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.440542,7.754968
mobile radio 37,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.443097,7.771579
mobile radio 38,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.446506,7.793066
mobile radio 39,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.447181,7.793116
mobile radio 40,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.449076,7.785818
mobile radio 41,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.43143,7.777123
mobile radio 42,27.5,27.5,4.8,mobile_radio.CSV,50,5,49.429211,7.759584
