ID,cap[kWh],cap_0[kWh],peak[kW],profile,power_cdc[kW],n_charge,lat,lon
sewage pump 1,10,10,10,water_pumps.CSV,50,10,49.461163,7.795343
sewage pump 2,10,10,10,water_pumps.CSV,50,10,49.45906575,7.80094925
sewage pump 3,10,10,10,water_pumps.CSV,50,10,49.4569685,7.8065555
sewage pump 4,10,10,10,water_pumps.CSV,50,10,49.45487125,7.81216175
sewage pump 5,10,10,10,water_pumps.CSV,50,10,49.452774,7.817768
sewage pump 6,10,10,10,water_pumps.CSV,50,10,49.4571656,7.7776276
sewage pump 7,10,10,10,water_pumps.CSV,50,10,49.4543765,7.7837059
sewage pump 8,10,10,10,water_pumps.CSV,50,10,49.4515874,7.7897842
sewage pump 9,10,10,10,water_pumps.CSV,50,10,49.4487983,7.7958625
sewage pump 10,10,10,10,water_pumps.CSV,50,10,49.4460092,7.8019408
sewage pump 11,10,10,10,water_pumps.CSV,50,10,49.4531682,7.7599122
sewage pump 12,10,10,10,water_pumps.CSV,50,10,49.44968725,7.76646255
sewage pump 13,10,10,10,water_pumps.CSV,50,10,49.4462063,7.7730129
sewage pump 14,10,10,10,water_pumps.CSV,50,10,49.44272535,7.77956325
sewage pump 15,10,10,10,water_pumps.CSV,50,10,49.4392444,7.7861136
sewage pump 16,10,10,10,water_pumps.CSV,50,10,49.4491708,7.7421968
sewage pump 17,10,10,10,water_pumps.CSV,50,10,49.444998,7.7492192
sewage pump 18,10,10,10,water_pumps.CSV,50,10,49.4408252,7.7562416
sewage pump 19,10,10,10,water_pumps.CSV,50,10,49.4366524,7.763264
sewage pump 20,10,10,10,water_pumps.CSV,50,10,49.4324796,7.7702864
sewage pump 21,10,10,10,water_pumps.CSV,50,10,49.4451734,7.7244814
sewage pump 22,10,10,10,water_pumps.CSV,50,10,49.44030875,7.73197585
sewage pump 23,10,10,10,water_pumps.CSV,50,10,49.4354441,7.7394703
sewage pump 24,10,10,10,water_pumps.CSV,50,10,49.43057945,7.74696475
sewage pump 25,10,10,10,water_pumps.CSV,50,10,49.4257148,7.7544592
sewage pump 26,10,10,10,water_pumps.CSV,50,10,49.441176,7.706766
sewage pump 27,10,10,10,water_pumps.CSV,50,10,49.4356195,7.7147325
sewage pump 28,10,10,10,water_pumps.CSV,50,10,49.430063,7.722699
sewage pump 29,10,10,10,water_pumps.CSV,50,10,49.4245065,7.7306655
sewage pump 30,10,10,10,water_pumps.CSV,50,10,49.41895,7.738632
water pump 1,5,5,5,water_pumps.CSV,50,10,49.441176,7.706766
water pump 2,5,5,5,water_pumps.CSV,50,10,49.43376733,7.717388
water pump 3,5,5,5,water_pumps.CSV,50,10,49.42635867,7.72801
water pump 4,5,5,5,water_pumps.CSV,50,10,49.41895,7.738632
water pump 5,5,5,5,water_pumps.CSV,50,10,49.44617275,7.72891025
water pump 6,5,5,5,water_pumps.CSV,50,10,49.43991717,7.7387455
water pump 7,5,5,5,water_pumps.CSV,50,10,49.43366158,7.74858075
water pump 8,5,5,5,water_pumps.CSV,50,10,49.427406,7.758416
water pump 9,5,5,5,water_pumps.CSV,50,10,49.4511695,7.7510545
water pump 10,5,5,5,water_pumps.CSV,50,10,49.446067,7.760103
water pump 11,5,5,5,water_pumps.CSV,50,10,49.4409645,7.7691515
water pump 12,5,5,5,water_pumps.CSV,50,10,49.435862,7.7782
water pump 13,5,5,5,water_pumps.CSV,50,10,49.45616625,7.77319875
water pump 14,5,5,5,water_pumps.CSV,50,10,49.45221683,7.7814605
water pump 15,5,5,5,water_pumps.CSV,50,10,49.44826742,7.78972225
water pump 16,5,5,5,water_pumps.CSV,50,10,49.444318,7.797984
water pump 17,5,5,5,water_pumps.CSV,50,10,49.461163,7.795343
water pump 18,5,5,5,water_pumps.CSV,50,10,49.45836667,7.802818
water pump 19,5,5,5,water_pumps.CSV,50,10,49.45557033,7.810293
water pump 20,5,5,5,water_pumps.CSV,50,10,49.452774,7.817768
