ID,cap[kWh],cap_0[kWh],peak[kW],profile,power_cdc[kW],n_charge,lat,lon
solar unit 1,192.24,0,192.24,solar_june_02.CSV,200,5,49.439041,7.778338
solar unit 2,141.6,0,141.6,solar_june_02.CSV,200,5,49.437832,7.775186
solar unit 3,99.84,0,99.84,solar_june_02.CSV,200,5,49.43864,7.776203
solar unit 4,99.9,0,99.9,solar_june_02.CSV,200,5,49.449559,7.787186
solar unit 5,81.355,0,81.355,solar_june_02.CSV,200,5,49.44168,7.753078
solar unit 6,40.81,0,40.81,solar_june_02.CSV,200,5,49.441886,7.753456
solar unit 7,80,0,80,solar_june_02.CSV,200,5,49.437476,7.757711
solar unit 8,80.33,0,80.33,solar_june_02.CSV,200,5,49.443452,7.763698
solar unit 9,33,0,33,solar_june_02.CSV,200,5,49.452013,7.779248
solar unit 10,81.4,0,81.4,solar_june_02.CSV,200,5,49.44093,7.810459
solar unit 11,141.2,0,141.2,solar_june_02.CSV,200,5,49.442227,7.813388
solar unit 12,199,0,199,solar_june_02.CSV,200,5,49.440808,7.787995
solar unit 13,72,0,72,solar_june_02.CSV,200,5,49.458552,7.798898
solar unit 14,46.74,0,46.74,solar_june_02.CSV,200,5,49.451,7.786
solar unit 15,62.4,0,62.4,solar_june_02.CSV,200,5,49.456794,7.796909
solar unit 16,160,0,160,solar_june_02.CSV,200,5,49.456055,7.79273
solar unit 18,79.56,0,79.56,solar_june_02.CSV,200,5,49.492728,7.858919
solar unit 17,4062.6,0,4062.6,solar_june_02.CSV,200,5,49.45803,7.786869
solar unit 19,94,0,94,solar_june_02.CSV,200,5,49.475776,7.820979
solar unit 20,122,0,122,solar_june_02.CSV,200,5,49.470253,7.807276
solar unit 21,38,0,38,solar_june_02.CSV,200,5,49.450191,7.76559
solar unit 22,82.5,0,82.5,solar_june_02.CSV,200,5,49.451188,7.796395
solar unit 23,48,0,48,solar_june_02.CSV,200,5,49.443033,7.795452
solar unit 24,37,0,37,solar_june_02.CSV,200,5,49.459085,7.792796
solar unit 25,95,0,95,solar_june_02.CSV,200,5,49.452734,7.746783
solar unit 26,40,0,40,solar_june_02.CSV,200,5,49.44572,7.766297
solar unit 27,87,0,87,solar_june_02.CSV,200,5,49.478609,7.686168
solar unit 28,184,0,184,solar_june_02.CSV,200,5,49.443885,7.719308
solar unit 29,82,0,82,solar_june_02.CSV,200,5,49.44547,7.725701
solar unit 30,45.99,0,45.99,solar_june_02.CSV,200,5,49.430384,7.728119
solar unit 31,89,0,89,solar_june_02.CSV,200,5,49.444318,7.729634
solar unit 32,130,0,130,solar_june_02.CSV,200,5,49.444399,7.723121
solar unit 33,2040,0,2040,solar_june_02.CSV,200,5,49.439663,7.711201
solar unit 34,58.1,0,58.1,solar_june_02.CSV,200,5,49.446,7.706
solar unit 35,306,0,306,solar_june_02.CSV,200,5,49.44,7.702
solar unit 36,40,0,40,solar_june_02.CSV,200,5,49.431587,7.753994
solar unit 37,66,0,66,solar_june_02.CSV,200,5,49.434118,7.763209

