ID,cap[kWh],cap_0[kWh],peak[kW],profile,power_cdc[kW],n_charge,lat,lon
wind unit 1,3000,0,3000,wind.CSV,200,10,49.379166667,7.59666667
wind unit 2,2000,0,2000,wind.CSV,200,10,49.365833333,7.61944444
wind unit 3,6000,0,6000,wind.CSV,200,10,49.358055556,7.59361111
wind unit 4,4800,0,4800,wind.CSV,200,10,49.344444440,7.6275
wind unit 5,3050,0,3050,wind.CSV,200,10,49.511111000,7.88416667
wind unit 6,10000,0,10000,wind.CSV,200,10,49.519444440,7.5355555
wind unit 7,1000,0,1000,wind.CSV,200,10,49.520555500,7.5544444
wind unit 8,29800,0,29800,wind.CSV,200,10,49.531666600,7.6027777
wind unit 9,5200,0,5200,wind.CSV,200,10,49.555000000,7.655
wind unit 10,500,0,500,wind.CSV,200,10,49.557500000,7.721111
wind unit 11,9000,0,9000,wind.CSV,200,10,49.474444440,7.8208333
