ID,DEMAND,DUE DATE,cap_0[kWh],cap[kWh],peak[kW],profile,power_cdc[kW],n_charge,lat,lon
2,20.0,191.0,77.95918367346937,77.95918367346937,24.489795918367342,const.csv,100,10,49.573157894736845,11.030000000000001
3,30.0,150.0,50.0,50.0,20.0,const.csv,100,10,49.57157894736842,11.02390243902439
4,10.0,184.0,32.85714285714287,32.85714285714287,10.714285714285717,const.csv,100,10,49.57157894736842,11.030000000000001
5,40.0,161.0,81.51898734177213,81.51898734177213,30.379746835443033,const.csv,100,10,49.57052631578948,11.026951219512195
6,20.0,160.0,39.99999999999999,39.99999999999999,14.999999999999998,const.csv,100,10,49.57052631578948,11.030000000000001
7,20.0,123.0,21.025641025641022,21.025641025641022,10.256410256410255,const.csv,100,10,49.56947368421053,11.02390243902439
8,20.0,155.0,36.47058823529412,36.47058823529412,14.11764705882353,const.csv,100,10,49.567894736842106,11.02390243902439
9,10.0,111.0,8.604651162790699,8.604651162790699,4.651162790697675,const.csv,100,10,49.567894736842106,11.026951219512195
10,20.0,111.0,17.209302325581397,17.209302325581397,9.30232558139535,const.csv,100,10,49.56526315789474,10.999512195121952
11,30.0,144.0,45.0,45.0,18.75,const.csv,100,10,49.56526315789474,11.002560975609757
12,40.0,79.0,19.627329192546576,19.627329192546576,14.906832298136644,const.csv,100,10,49.56421052631579,11.002560975609757
13,20.0,152.0,34.54545454545454,34.54545454545454,13.636363636363635,const.csv,100,10,49.56421052631579,11.005609756097561
14,10.0,162.0,20.769230769230774,20.769230769230774,7.692307692307693,const.csv,100,10,49.56263157894737,10.999512195121952
15,10.0,117.0,9.512195121951223,9.512195121951223,4.878048780487806,const.csv,100,10,49.56263157894737,11.005609756097561
16,20.0,78.0,9.629629629629626,9.629629629629626,7.4074074074074066,const.csv,100,10,49.56105263157895,11.002560975609757
17,20.0,114.0,18.095238095238095,18.095238095238095,9.523809523809524,const.csv,100,10,49.56,11.002560975609757
18,20.0,180.0,60.0,60.0,20.0,const.csv,100,10,49.56,11.005609756097561
19,20.0,124.0,21.379310344827587,21.379310344827587,10.344827586206897,const.csv,100,10,49.58315789473684,10.981219512195123
20,40.0,115.0,36.80000000000001,36.80000000000001,19.200000000000003,const.csv,100,10,49.5821052631579,10.984268292682927
21,10.0,162.0,20.769230769230774,20.769230769230774,7.692307692307693,const.csv,100,10,49.5821052631579,10.987317073170733
22,10.0,165.0,22.0,22.0,8.0,const.csv,100,10,49.58105263157895,10.981219512195123
23,40.0,119.0,39.33884297520662,39.33884297520662,19.834710743801654,const.csv,100,10,49.58105263157895,10.987317073170733
24,30.0,85.0,16.451612903225815,16.451612903225815,11.612903225806454,const.csv,100,10,49.580000000000005,10.981219512195123
25,10.0,194.0,42.173913043478265,42.173913043478265,13.043478260869566,const.csv,100,10,49.580000000000005,10.987317073170733
26,20.0,181.0,61.35593220338983,61.35593220338983,20.338983050847457,const.csv,100,10,49.57842105263158,10.981219512195123
27,30.0,171.0,74.34782608695653,74.34782608695653,26.086956521739133,const.csv,100,10,49.61,10.996463414634146
28,20.0,93.0,12.653061224489797,12.653061224489797,8.16326530612245,const.csv,100,10,49.61,10.999512195121952
29,10.0,120.0,10.0,10.0,5.0,const.csv,100,10,49.608421052631584,10.996463414634146
30,10.0,112.0,8.75,8.75,4.6875,const.csv,100,10,49.607368421052634,10.999512195121952
31,10.0,102.0,7.39130434782609,7.39130434782609,4.347826086956522,const.csv,100,10,49.60631578947368,10.996463414634146
32,20.0,170.0,48.571428571428584,48.571428571428584,17.142857142857146,const.csv,100,10,49.60631578947368,10.999512195121952
33,10.0,175.0,26.92307692307692,26.92307692307692,9.23076923076923,const.csv,100,10,49.60578947368421,10.996463414634146
34,10.0,85.0,5.483870967741938,5.483870967741938,3.8709677419354844,const.csv,100,10,49.60473684210527,10.993414634146342
35,30.0,182.0,94.13793103448275,94.13793103448275,31.034482758620687,const.csv,100,10,49.60473684210527,10.999512195121952
36,20.0,169.0,47.60563380281691,47.60563380281691,16.901408450704228,const.csv,100,10,49.59526315789474,11.030000000000001
37,40.0,78.0,19.259259259259252,19.259259259259252,14.814814814814813,const.csv,100,10,49.59421052631579,11.030000000000001
38,10.0,189.0,37.05882352941176,37.05882352941176,11.76470588235294,const.csv,100,10,49.59421052631579,11.028170731707318
