ID,cap[kWh],cap_0[kWh],node_0,consumption[kWh/km],power_cdc[kW],speed[km/h],name,costs
car_01,200,200,0,0.200,200,250,car,1
car_02,200,200,0,0.200,200,250,car,1
car_03,200,200,0,0.200,200,250,car,1
car_04,200,200,0,0.200,200,250,car,1
car_05,200,200,0,0.200,200,250,car,1
car_06,200,200,0,0.200,200,250,car,1
car_07,200,200,0,0.200,200,250,car,1
car_08,200,200,0,0.200,200,250,car,1
car_09,200,200,0,0.200,200,250,car,1
car_10,200,200,0,0.200,200,250,car,1
car_11,200,200,0,0.200,200,250,car,1
car_12,200,200,0,0.200,200,250,car,1
car_13,200,200,0,0.200,200,250,car,1
car_14,200,200,0,0.200,200,250,car,1
car_15,200,200,0,0.200,200,250,car,1
car_16,200,200,0,0.200,200,250,car,1
car_17,200,200,0,0.200,200,250,car,1
car_18,200,200,0,0.200,200,250,car,1
car_19,200,200,0,0.200,200,250,car,1
car_20,200,200,0,0.200,200,250,car,1
car_21,200,200,0,0.200,200,250,car,1
car_22,200,200,0,0.200,200,250,car,1
car_23,200,200,0,0.200,200,250,car,1
car_24,200,200,0,0.200,200,250,car,1
car_25,200,200,0,0.200,200,250,car,1
car_26,200,200,0,0.200,200,250,car,1
car_27,200,200,0,0.200,200,250,car,1
car_28,200,200,0,0.200,200,250,car,1
car_29,200,200,0,0.200,200,250,car,1
car_30,200,200,0,0.200,200,250,car,1
car_31,200,200,0,0.200,200,250,car,1
car_32,200,200,0,0.200,200,250,car,1
car_33,200,200,0,0.200,200,250,car,1
car_34,200,200,0,0.200,200,250,car,1
car_35,200,200,0,0.200,200,250,car,1
car_36,200,200,0,0.200,200,250,car,1
car_37,200,200,0,0.200,200,250,car,1
car_38,200,200,0,0.200,200,250,car,1
car_39,200,200,0,0.200,200,250,car,1
car_40,200,200,0,0.200,200,250,car,1
car_41,200,200,0,0.200,200,250,car,1
car_42,200,200,0,0.200,200,250,car,1
car_43,200,200,0,0.200,200,250,car,1
car_44,200,200,0,0.200,200,250,car,1
car_45,200,200,0,0.200,200,250,car,1
car_46,200,200,0,0.200,200,250,car,1
car_47,200,200,0,0.200,200,250,car,1
car_48,200,200,0,0.200,200,250,car,1
car_49,200,200,0,0.200,200,250,car,1
car_50,200,200,0,0.200,200,250,car,1
car_51,200,200,0,0.200,200,250,car,1
car_52,200,200,0,0.200,200,250,car,1
car_53,200,200,0,0.200,200,250,car,1
car_54,200,200,0,0.200,200,250,car,1
car_55,200,200,0,0.200,200,250,car,1
car_56,200,200,0,0.200,200,250,car,1
car_57,200,200,0,0.200,200,250,car,1
car_58,200,200,0,0.200,200,250,car,1
car_59,200,200,0,0.200,200,250,car,1
car_60,200,200,0,0.200,200,250,car,1
car_61,200,200,0,0.200,200,250,car,1
car_62,200,200,0,0.200,200,250,car,1
car_63,200,200,0,0.200,200,250,car,1
car_64,200,200,0,0.200,200,250,car,1
car_65,200,200,0,0.200,200,250,car,1
car_66,200,200,0,0.200,200,250,car,1
car_67,200,200,0,0.200,200,250,car,1
car_68,200,200,0,0.200,200,250,car,1
car_69,200,200,0,0.200,200,250,car,1
car_70,200,200,0,0.200,200,250,car,1
car_71,200,200,0,0.200,200,250,car,1
car_72,200,200,0,0.200,200,250,car,1
car_73,200,200,0,0.200,200,250,car,1
car_74,200,200,0,0.200,200,250,car,1
car_75,200,200,0,0.200,200,250,car,1
car_76,200,200,0,0.200,200,250,car,1
car_77,200,200,0,0.200,200,250,car,1
car_78,200,200,0,0.200,200,250,car,1
car_79,200,200,0,0.200,200,250,car,1
car_80,200,200,0,0.200,200,250,car,1
car_81,200,200,0,0.200,200,250,car,1
car_82,200,200,0,0.200,200,250,car,1
car_83,200,200,0,0.200,200,250,car,1
car_84,200,200,0,0.200,200,250,car,1
car_85,200,200,0,0.200,200,250,car,1
car_86,200,200,0,0.200,200,250,car,1
car_87,200,200,0,0.200,200,250,car,1
car_88,200,200,0,0.200,200,250,car,1
car_89,200,200,0,0.200,200,250,car,1
car_90,200,200,0,0.200,200,250,car,1
