ID,cap[kWh],cap_0[kWh],node_0,consumption[kWh/km],power_cdc[kW],speed[km/h],name,costs
car_01,95,95,0,0.200,200,250,car,1
car_02,95,95,0,0.200,200,250,car,1
car_03,95,95,0,0.200,200,250,car,1
car_04,95,95,0,0.200,200,250,car,1
car_05,95,95,0,0.200,200,250,car,1
car_06,95,95,0,0.200,200,250,car,1
car_07,95,95,0,0.200,200,250,car,1
car_08,95,95,0,0.200,200,250,car,1
car_09,95,95,0,0.200,200,250,car,1
car_10,95,95,0,0.200,200,250,car,1
car_11,95,95,0,0.200,200,250,car,1
car_12,95,95,0,0.200,200,250,car,1
car_13,95,95,0,0.200,200,250,car,1
car_14,95,95,0,0.200,200,250,car,1
car_15,95,95,0,0.200,200,250,car,1
car_16,95,95,0,0.200,200,250,car,1
car_17,95,95,0,0.200,200,250,car,1
car_18,95,95,0,0.200,200,250,car,1
car_19,95,95,0,0.200,200,250,car,1
car_20,95,95,0,0.200,200,250,car,1
car_21,95,95,0,0.200,200,250,car,1
car_22,95,95,0,0.200,200,250,car,1
car_23,95,95,0,0.200,200,250,car,1
car_24,95,95,0,0.200,200,250,car,1
car_25,95,95,0,0.200,200,250,car,1
car_26,95,95,0,0.200,200,250,car,1
car_27,95,95,0,0.200,200,250,car,1
car_28,95,95,0,0.200,200,250,car,1
car_29,95,95,0,0.200,200,250,car,1
car_30,95,95,0,0.200,200,250,car,1
car_31,95,95,0,0.200,200,250,car,1
car_32,95,95,0,0.200,200,250,car,1
car_33,95,95,0,0.200,200,250,car,1
car_34,95,95,0,0.200,200,250,car,1
car_35,95,95,0,0.200,200,250,car,1
car_36,95,95,0,0.200,200,250,car,1
car_37,95,95,0,0.200,200,250,car,1
car_38,95,95,0,0.200,200,250,car,1
car_39,95,95,0,0.200,200,250,car,1
car_40,95,95,0,0.200,200,250,car,1
car_41,95,95,0,0.200,200,250,car,1
car_42,95,95,0,0.200,200,250,car,1
car_43,95,95,0,0.200,200,250,car,1
car_44,95,95,0,0.200,200,250,car,1
car_45,95,95,0,0.200,200,250,car,1
car_46,95,95,0,0.200,200,250,car,1
car_47,95,95,0,0.200,200,250,car,1
car_48,95,95,0,0.200,200,250,car,1
car_49,95,95,0,0.200,200,250,car,1
car_50,95,95,0,0.200,200,250,car,1
car_51,95,95,0,0.200,200,250,car,1
car_52,95,95,0,0.200,200,250,car,1
car_53,95,95,0,0.200,200,250,car,1
car_54,95,95,0,0.200,200,250,car,1
car_55,95,95,0,0.200,200,250,car,1
car_56,95,95,0,0.200,200,250,car,1
car_57,95,95,0,0.200,200,250,car,1
car_58,95,95,0,0.200,200,250,car,1
car_59,95,95,0,0.200,200,250,car,1
car_60,95,95,0,0.200,200,250,car,1
car_61,95,95,0,0.200,200,250,car,1
car_62,95,95,0,0.200,200,250,car,1
car_63,95,95,0,0.200,200,250,car,1
car_64,95,95,0,0.200,200,250,car,1
car_65,95,95,0,0.200,200,250,car,1
car_66,95,95,0,0.200,200,250,car,1
car_67,95,95,0,0.200,200,250,car,1
car_68,95,95,0,0.200,200,250,car,1
car_69,95,95,0,0.200,200,250,car,1
car_70,95,95,0,0.200,200,250,car,1
car_71,95,95,0,0.200,200,250,car,1
car_72,95,95,0,0.200,200,250,car,1
car_73,95,95,0,0.200,200,250,car,1
car_74,95,95,0,0.200,200,250,car,1
car_75,95,95,0,0.200,200,250,car,1
car_76,95,95,0,0.200,200,250,car,1
car_77,95,95,0,0.200,200,250,car,1
car_78,95,95,0,0.200,200,250,car,1
car_79,95,95,0,0.200,200,250,car,1
car_80,95,95,0,0.200,200,250,car,1
car_81,95,95,0,0.200,200,250,car,1
car_82,95,95,0,0.200,200,250,car,1
car_83,95,95,0,0.200,200,250,car,1
car_84,95,95,0,0.200,200,250,car,1
car_85,95,95,0,0.200,200,250,car,1
car_86,95,95,0,0.200,200,250,car,1
car_87,95,95,0,0.200,200,250,car,1
car_88,95,95,0,0.200,200,250,car,1
car_89,95,95,0,0.200,200,250,car,1
car_90,95,95,0,0.200,200,250,car,1
