time,peak_percentage
00:00,0.3
00:15,0.3
00:30,0.3
00:45,0.3
01:00,0.3
01:15,0.3
01:30,0.3
01:45,0.3
02:00,0.3
02:15,0.3
02:30,0.3
02:45,0.3
03:00,0.3
03:15,0.3
03:30,0.3
03:45,0.3
04:00,0.3
04:15,0.3
04:30,0.3
04:45,0.3
05:00,0.3
05:15,0.3
05:30,0.3
05:45,0.3
06:00,1.0
06:15,1.0
06:30,1.0
06:45,1.0
07:00,1.0
07:15,1.0
07:30,1.0
07:45,1.0
08:00,1.0
08:15,1.0
08:30,1.0
08:45,1.0
09:00,1.0
09:15,1.0
09:30,1.0
09:45,1.0
10:00,1.0
10:15,1.0
10:30,1.0
10:45,1.0
11:00,1.0
11:15,1.0
11:30,1.0
11:45,1.0
12:00,1.0
12:15,1.0
12:30,1.0
12:45,1.0
13:00,1.0
13:15,1.0
13:30,1.0
13:45,1.0
14:00,1.0
14:15,1.0
14:30,1.0
14:45,1.0
15:00,1.0
15:15,1.0
15:30,1.0
15:45,1.0
16:00,1.0
16:15,1.0
16:30,1.0
16:45,1.0
17:00,1.0
17:15,1.0
17:30,1.0
17:45,1.0
18:00,0.3
18:15,0.3
18:30,0.3
18:45,0.3
19:00,0.3
19:15,0.3
19:30,0.3
19:45,0.3
20:00,0.3
20:15,0.3
20:30,0.3
20:45,0.3
21:00,0.3
21:15,0.3
21:30,0.3
21:45,0.3
22:00,0.3
22:15,0.3
22:30,0.3
22:45,0.3
23:00,0.3
23:15,0.3
23:30,0.3
23:45,0.3
