time,peak_percentage
00:00,0.92606
00:15,0.92746
00:30,0.92465
00:45,0.92606
01:00,0.92746
01:15,0.92676
01:30,0.92746
01:45,0.92465
02:00,0.92394
02:15,0.92606
02:30,0.92535
02:45,0.92746
03:00,0.92535
03:15,0.92676
03:30,0.92465
03:45,0.92606
04:00,0.92465
04:15,0.92535
04:30,0.92676
04:45,0.92606
05:00,0.92606
05:15,0.92606
05:30,0.92606
05:45,0.92394
06:00,0.92676
06:15,0.92606
06:30,0.92606
06:45,0.92535
07:00,0.92606
07:15,0.92746
07:30,0.92676
07:45,0.92535
08:00,0.92676
08:15,0.92746
08:30,0.92465
08:45,0.92817
09:00,0.92535
09:15,0.78169
09:30,0.00141
09:45,0.00070
10:00,0.00000
10:15,0.00141
10:30,0.00141
10:45,0.00141
11:00,0.00141
11:15,0.14789
11:30,0.92676
11:45,0.92676
12:00,0.92465
12:15,0.92394
12:30,0.92606
12:45,0.92535
13:00,0.92465
13:15,0.92817
13:30,0.92465
13:45,0.92465
14:00,0.92535
14:15,0.92394
14:30,0.92676
14:45,0.92676
15:00,0.92465
15:15,0.92606
15:30,0.92535
15:45,0.92676
16:00,0.92535
16:15,0.92676
16:30,0.92746
16:45,0.92606
17:00,0.92535
17:15,0.92535
17:30,0.92746
17:45,0.92465
18:00,0.92676
18:15,0.92535
18:30,0.92465
18:45,0.92746
19:00,0.92535
19:15,0.92606
19:30,0.92606
19:45,0.92606
20:00,0.92535
20:15,0.92465
20:30,0.92535
20:45,0.92676
21:00,0.92606
21:15,0.92465
21:30,0.92606
21:45,0.92465
22:00,0.92606
22:15,0.92606
22:30,0.92746
22:45,0.92465
23:00,0.92676
23:15,0.92676
23:30,0.92535
23:45,0.92817
