time,peak_percentage
00:00,0.264
00:15,0.264
00:30,0.264
00:45,0.264
01:00,0.265
01:15,0.265
01:30,0.265
01:45,0.265
02:00,0.265
02:15,0.266
02:30,0.266
02:45,0.266
03:00,0.265
03:15,0.262
03:30,0.258
03:45,0.253
04:00,0.246
04:15,0.239
04:30,0.236
04:45,0.243
05:00,0.265
05:15,0.27
05:30,0.274
05:45,0.279
06:00,0.284
06:15,0.315
06:30,0.325
06:45,0.353
07:00,0.36
07:15,0.903
07:30,1.648
07:45,2.468
08:00,3.237
08:15,3.852
08:30,4.307
08:45,4.62
09:00,4.808
09:15,4.89
09:30,4.899
09:45,4.867
10:00,4.826
10:15,4.805
10:30,4.798
10:45,4.796
11:00,4.789
11:15,4.765
11:30,4.72
11:45,4.648
12:00,4.543
12:15,4.4
12:30,4.22
12:45,4.002
13:00,3.748
13:15,3.464
13:30,3.194
13:45,2.988
14:00,2.896
14:15,2.948
14:30,3.098
14:45,3.28
15:00,3.426
15:15,3.485
15:30,3.458
15:45,3.364
16:00,3.218
16:15,3.034
16:30,2.819
16:45,2.576
17:00,2.309
17:15,2.025
17:30,1.74
17:45,1.475
18:00,1.249
18:15,1.076
18:30,0.947
18:45,0.846
19:00,0.757
19:15,0.669
19:30,0.585
19:45,0.511
20:00,0.454
20:15,0.418
20:30,0.398
20:45,0.387
21:00,0.379
21:15,0.367
21:30,0.352
21:45,0.336
22:00,0.322
22:15,0.309
22:30,0.299
22:45,0.291
23:00,0.284
23:15,0.278
23:30,0.272
23:45,0.268
