ID,cap[kWh],cap_0[kWh],node_0,consumption[kWh/km],power_cdc[kW],speed[km/h],name,costs
Eauto 91,37.9,37.9,0,0.129,50,160,BMW i3,110
Eauto 92,37.9,37.9,0,0.129,50,160,BMW i3,110
Eauto 93,37.9,37.9,0,0.129,50,160,BMW i3,110
Eauto 94,27.2,27.2,0,0.129,50,160,BMW i3,110
Eauto 95,27.2,27.2,0,0.129,50,160,BMW i3,110
Eauto 96,27.2,27.2,0,0.129,50,160,BMW i3,110
Eauto 97,18.8,18.8,0,0.129,50,160,BMW i3,110
Eauto 98,18.8,18.8,0,0.129,50,160,BMW i3,110
Eauto 99,18.8,18.8,0,0.129,50,160,BMW i3,110
Eauto 100,64,64,0,0.159,3.6,172,Kia Nero,165
Eauto 101,64,64,0,0.159,3.6,172,Kia Nero,165
Eauto 102,64,64,0,0.159,3.6,172,Kia Nero,165
Eauto 103,64,64,0,0.159,3.6,172,Kia Nero,165
Eauto 104,64,64,0,0.159,3.6,172,Kia Nero,165
Eauto 105,64,64,0,0.159,3.6,172,Kia Nero,165
Eauto 106,39.2,39.2,0,0.159,3.6,172,Kia Nero,150
Eauto 107,39.2,39.2,0,0.159,3.6,172,Kia Nero,150
Eauto 108,39.2,39.2,0,0.159,3.6,172,Kia Nero,150
Eauto 109,39.2,39.2,0,0.159,3.6,172,Kia Nero,150
Eauto 110,16,16,0,0.18,3.6,161,Opel Ampera,100
Eauto 111,16,16,0,0.18,3.6,161,Opel Ampera,100
Eauto 112,16,16,0,0.18,3.6,161,Opel Ampera,100
Eauto 113,62,62,0,0.174,50,144,Nissan Leaf 62kWh,150
Eauto 114,62,62,0,0.174,50,144,Nissan Leaf 62kWh,150
Eauto 115,62,62,0,0.174,50,144,Nissan Leaf 62kWh,150
Eauto 116,62,62,0,0.174,50,144,Nissan Leaf 62kWh,150
Eauto 117,62,62,0,0.174,50,144,Nissan Leaf 62kWh,150
Eauto 118,30,30,0,0.174,50,144,Nissan Leaf 30kWh,120
Eauto 119,30,30,0,0.174,50,144,Nissan Leaf 30kWh,120
Eauto 120,30,30,0,0.174,50,144,Nissan Leaf 30kWh,120
Eauto 121,30,30,0,0.174,50,144,Nissan Leaf 30kWh,120
Eauto 122,30,30,0,0.174,50,144,Nissan Leaf 30kWh,120
Eauto 123,30,30,0,0.174,50,144,Nissan Leaf 30kWh,120
Eauto 124,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 125,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 126,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 127,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 128,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 129,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 130,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 131,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 132,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 133,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 134,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 135,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 136,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 137,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 138,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 139,23,23,0,0.133,43,135,Renault Zoe,100
Eauto 140,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 141,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 142,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 143,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 144,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 145,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 146,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 147,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 148,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 149,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 150,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 151,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 152,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 153,41,41,0,0.133,43,135,Renault Zoe,110
Eauto 154,85,85,0,0.18,200,250,Tesla Model S,250
Eauto 155,85,85,0,0.18,200,250,Tesla Model S,250
Eauto 156,85,85,0,0.18,200,250,Tesla Model S,250
Eauto 157,85,85,0,0.18,200,250,Tesla Model S,250
Eauto 158,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 159,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 160,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 161,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 162,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 163,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 164,100,100,0,0.18,200,250,Tesla Model S,330
Eauto 165,75,75,0,0.16,200,250,Tesla Model 3,300
Eauto 166,75,75,0,0.16,200,250,Tesla Model 3,300
Eauto 167,75,75,0,0.16,200,250,Tesla Model 3,300
Eauto 168,75,75,0,0.16,200,250,Tesla Model 3,300
Eauto 169,60,60,0,0.16,200,250,Tesla Model 3,250
Eauto 170,90,90,0,0.18,200,250,Tesla Model X,360
Eauto 171,100,100,0,0.18,200,250,Tesla Model X,395
Eauto 172,100,100,0,0.18,200,250,Tesla Model X,395
Eauto 173,100,100,0,0.18,200,250,Tesla Model X,395
